,chi2,Z,P,P.adjusted,comparisons,metal,Dataset
1,62.35535581,-2.368752048,0.008924107,0.036039664,min100 - min250,v,molP
2,62.35535581,-0.703921599,0.2407408,0.312071407,min100 - min50,v,molP
3,62.35535581,1.664830449,0.047973294,0.089949926,min250 - min50,v,molP
4,62.35535581,-3.933022269,4.19E-05,0.000550492,min100 - necro100,v,molP
5,62.35535581,-1.564270221,0.058877061,0.108457744,min250 - necro100,v,molP
6,62.35535581,-3.22910067,0.000620901,0.004346306,min50 - necro100,v,molP
7,62.35535581,-3.150887159,0.000813877,0.005026886,min100 - necro250,v,molP
8,62.35535581,-0.78213511,0.217067587,0.288507553,min250 - necro250,v,molP
9,62.35535581,-2.44696556,0.00720323,0.032884312,min50 - necro250,v,molP
10,62.35535581,0.78213511,0.217067587,0.284901208,necro100 - necro250,v,molP
11,62.35535581,-1.988857852,0.023358448,0.053318195,min100 - necro50,v,molP
12,62.35535581,0.379894196,0.352011978,0.429782066,min250 - necro50,v,molP
13,62.35535581,-1.284936253,0.099407281,0.165678801,min50 - necro50,v,molP
14,62.35535581,1.944164417,0.025937814,0.056738967,necro100 - necro50,v,molP
15,62.35535581,1.162029307,0.12261178,0.189327014,necro250 - necro50,v,molP
16,62.35535581,-2.145284874,0.015965039,0.045306191,min100 - psyg100,v,molP
17,62.35535581,0.223467174,0.411585964,0.46469383,min250 - psyg100,v,molP
18,62.35535581,-1.441363275,0.07474104,0.133013715,min50 - psyg100,v,molP
19,62.35535581,1.787737395,0.036909193,0.073121986,necro100 - psyg100,v,molP
20,62.35535581,1.005602285,0.157303462,0.220224847,necro250 - psyg100,v,molP
21,62.35535581,-0.156427022,0.437848219,0.464384475,necro50 - psyg100,v,molP
22,62.35535581,-4.279396389,9.37E-06,0.000327951,min100 - psyg250,v,molP
23,62.35535581,-1.910644341,0.028025151,0.060053895,min250 - psyg250,v,molP
24,62.35535581,-3.57547479,0.000174796,0.001668511,min50 - psyg250,v,molP
25,62.35535581,-0.34637412,0.364530786,0.434951506,necro100 - psyg250,v,molP
26,62.35535581,-1.128509231,0.12955246,0.197145048,necro250 - psyg250,v,molP
27,62.35535581,-2.290538537,0.010995059,0.039809695,necro50 - psyg250,v,molP
28,62.35535581,-2.134111515,0.016416827,0.045362284,psyg100 - psyg250,v,molP
29,62.35535581,-1.821257471,0.034283864,0.069227033,min100 - psyg50,v,molP
30,62.35535581,0.547494577,0.292019497,0.365024372,min250 - psyg50,v,molP
31,62.35535581,-1.117335872,0.131925372,0.197888057,min50 - psyg50,v,molP
32,62.35535581,2.111764798,0.017353314,0.046720461,necro100 - psyg50,v,molP
33,62.35535581,1.329629688,0.091820156,0.155501877,necro250 - psyg50,v,molP
34,62.35535581,0.167600381,0.433448836,0.464409467,necro50 - psyg50,v,molP
35,62.35535581,0.324027403,0.372958644,0.440007389,psyg100 - psyg50,v,molP
36,62.35535581,2.458138918,0.006982957,0.033327749,psyg250 - psyg50,v,molP
37,62.35535581,-0.078213511,0.468829107,0.477932585,min100 - smic100,v,molP
38,62.35535581,2.290538537,0.010995059,0.038482705,min250 - smic100,v,molP
39,62.35535581,0.625708088,0.265753214,0.336193824,min50 - smic100,v,molP
40,62.35535581,3.854808758,5.79E-05,0.000675617,necro100 - smic100,v,molP
41,62.35535581,3.072673648,0.001060752,0.006187719,necro250 - smic100,v,molP
42,62.35535581,1.910644341,0.028025151,0.058852817,necro50 - smic100,v,molP
43,62.35535581,2.067071363,0.019363715,0.048409288,psyg100 - smic100,v,molP
44,62.35535581,4.201182878,1.33E-05,0.0002788,psyg250 - smic100,v,molP
45,62.35535581,1.74304396,0.040662968,0.077629303,psyg50 - smic100,v,molP
46,62.35535581,-2.055898004,0.019896174,0.048583681,min100 - smic250,v,molP
47,62.35535581,0.312854044,0.377195777,0.44006174,min250 - smic250,v,molP
48,62.35535581,-1.351976405,0.088191432,0.151804923,min50 - smic250,v,molP
49,62.35535581,1.877124265,0.030250532,0.062280508,necro100 - smic250,v,molP
50,62.35535581,1.094989154,0.136760694,0.199442679,necro250 - smic250,v,molP
51,62.35535581,-0.067040152,0.473274869,0.477825589,necro50 - smic250,v,molP
52,62.35535581,0.08938687,0.464387229,0.478045677,psyg100 - smic250,v,molP
53,62.35535581,2.223498385,0.013091106,0.041653519,psyg250 - smic250,v,molP
54,62.35535581,-0.234640533,0.407243873,0.464789203,psyg50 - smic250,v,molP
55,62.35535581,-1.977684493,0.023982155,0.053577156,smic100 - smic250,v,molP
56,62.35535581,0.201120457,0.420302193,0.469486492,min100 - smic50,v,molP
57,62.35535581,2.569872505,0.005086797,0.028111249,min250 - smic50,v,molP
58,62.35535581,0.905042056,0.182721554,0.249165755,min50 - smic50,v,molP
59,62.35535581,4.134142726,1.78E-05,0.000267212,necro100 - smic50,v,molP
60,62.35535581,3.352007616,0.000401139,0.003239969,necro250 - smic50,v,molP
61,62.35535581,2.189978309,0.014262905,0.042788715,necro50 - smic50,v,molP
62,62.35535581,2.346405331,0.00947774,0.03685788,psyg100 - smic50,v,molP
63,62.35535581,4.480516846,3.72E-06,0.000390928,psyg250 - smic50,v,molP
64,62.35535581,2.022377928,0.021568662,0.05147067,psyg50 - smic50,v,molP
65,62.35535581,0.279333968,0.38999427,0.449993389,smic100 - smic50,v,molP
66,62.35535581,2.257018461,0.012003461,0.040656883,smic250 - smic50,v,molP
67,62.35535581,-3.251447387,0.000574095,0.004305713,min100 - vor100,v,molP
68,62.35535581,-0.882695339,0.188700451,0.254019837,min250 - vor100,v,molP
69,62.35535581,-2.547525788,0.005424492,0.028478582,min50 - vor100,v,molP
70,62.35535581,0.681574882,0.247753901,0.317245849,necro100 - vor100,v,molP
71,62.35535581,-0.100560228,0.459949785,0.478165618,necro250 - vor100,v,molP
72,62.35535581,-1.262589535,0.103368365,0.166979667,necro50 - vor100,v,molP
73,62.35535581,-1.106162513,0.134328093,0.198654221,psyg100 - vor100,v,molP
74,62.35535581,1.027949002,0.151986909,0.2156571,psyg250 - vor100,v,molP
75,62.35535581,-1.430189916,0.076331259,0.133579704,psyg50 - vor100,v,molP
76,62.35535581,-3.173233876,0.000753755,0.004946518,smic100 - vor100,v,molP
77,62.35535581,-1.195549383,0.115936227,0.184443998,smic250 - vor100,v,molP
78,62.35535581,-3.452567844,0.000277639,0.00242934,smic50 - vor100,v,molP
79,62.35535581,-4.274135869,9.59E-06,0.000251843,min100 - vor250,v,molP
80,62.35535581,-2.015619408,0.021919894,0.05114642,min250 - vor250,v,molP
81,62.35535581,-3.602972959,0.000157299,0.001651641,min50 - vor250,v,molP
82,62.35535581,-0.524146273,0.300088403,0.370697439,necro100 - vor250,v,molP
83,62.35535581,-1.269882841,0.102063183,0.16744741,necro250 - vor250,v,molP
84,62.35535581,-2.377834312,0.008707324,0.036570763,necro50 - vor250,v,molP
85,62.35535581,-2.228686999,0.012917369,0.042385117,psyg100 - vor250,v,molP
86,62.35535581,-0.193891508,0.423130417,0.467670461,psyg250 - vor250,v,molP
87,62.35535581,-2.537635005,0.005580216,0.027901078,psyg50 - vor250,v,molP
88,62.35535581,-4.199562213,1.34E-05,0.000234003,smic100 - vor250,v,molP
89,62.35535581,-2.313914035,0.010336219,0.038760821,smic250 - vor250,v,molP
90,62.35535581,-4.465896701,3.99E-06,0.000209302,smic50 - vor250,v,molP
91,62.35535581,-1.174002425,0.120197027,0.188368475,vor100 - vor250,v,molP
92,62.35535581,-2.17880495,0.014673081,0.042796485,min100 - vor50,v,molP
93,62.35535581,0.189947098,0.424675293,0.459700059,min250 - vor50,v,molP
94,62.35535581,-1.474883351,0.070121954,0.126944916,min50 - vor50,v,molP
95,62.35535581,1.754217319,0.039696638,0.077187908,necro100 - vor50,v,molP
96,62.35535581,0.972082209,0.165504826,0.228657984,necro250 - vor50,v,molP
97,62.35535581,-0.189947098,0.424675293,0.464488601,necro50 - vor50,v,molP
98,62.35535581,-0.033520076,0.486629928,0.486629928,psyg100 - vor50,v,molP
99,62.35535581,2.100591439,0.017838423,0.045683766,psyg250 - vor50,v,molP
100,62.35535581,-0.357547479,0.360340994,0.434894304,psyg50 - vor50,v,molP
101,62.35535581,-2.100591439,0.017838423,0.046825861,smic100 - vor50,v,molP
102,62.35535581,-0.122906946,0.451090393,0.473644912,smic250 - vor50,v,molP
103,62.35535581,-2.379925407,0.008658071,0.037879063,smic50 - vor50,v,molP
104,62.35535581,1.072642437,0.141715788,0.203837778,vor100 - vor50,v,molP
105,62.35535581,2.19672686,0.01401998,0.043296996,vor250 - vor50,v,molP
106,76.07540574,-2.100591439,0.017838423,0.041622987,min100 - min250,v uptake,molP
107,76.07540574,0.189947098,0.424675293,0.445909057,min100 - min50,v uptake,molP
108,76.07540574,2.290538537,0.010995059,0.029602081,min250 - min50,v uptake,molP
109,76.07540574,-4.067102574,2.38E-05,0.000277674,min100 - necro100,v uptake,molP
110,76.07540574,-1.966511135,0.024619799,0.051701577,min250 - necro100,v uptake,molP
111,76.07540574,-4.257049672,1.04E-05,0.00018125,min50 - necro100,v uptake,molP
112,76.07540574,-3.463741203,0.000266359,0.001645161,min100 - necro250,v uptake,molP
113,76.07540574,-1.363149764,0.086417658,0.14177897,min250 - necro250,v uptake,molP
114,76.07540574,-3.653688301,0.00012925,0.00090475,min50 - necro250,v uptake,molP
115,76.07540574,0.603361371,0.273134157,0.322236927,necro100 - necro250,v uptake,molP
116,76.07540574,-2.558699147,0.005253231,0.016223214,min100 - necro50,v uptake,molP
117,76.07540574,-0.458107707,0.323437531,0.361286604,min250 - necro50,v uptake,molP
118,76.07540574,-2.748646245,0.002992097,0.010472338,min50 - necro50,v uptake,molP
119,76.07540574,1.508403427,0.065725653,0.116969383,necro100 - necro50,v uptake,molP
120,76.07540574,0.905042056,0.182721554,0.245971322,necro250 - necro50,v uptake,molP
121,76.07540574,-2.078244722,0.018843412,0.042096985,min100 - psyg100,v uptake,molP
122,76.07540574,0.022346717,0.491085692,0.491085692,min250 - psyg100,v uptake,molP
123,76.07540574,-2.26819182,0.011658759,0.030604242,min50 - psyg100,v uptake,molP
124,76.07540574,1.988857852,0.023358448,0.050053816,necro100 - psyg100,v uptake,molP
125,76.07540574,1.385496481,0.082950354,0.13825059,necro250 - psyg100,v uptake,molP
126,76.07540574,0.480454425,0.315452151,0.360026912,necro50 - psyg100,v uptake,molP
127,76.07540574,-4.223529596,1.20E-05,0.000180379,min100 - psyg250,v uptake,molP
128,76.07540574,-2.122938157,0.016879517,0.040280666,min250 - psyg250,v uptake,molP
129,76.07540574,-4.413476694,5.09E-06,0.000133512,min50 - psyg250,v uptake,molP
130,76.07540574,-0.156427022,0.437848219,0.446350127,necro100 - psyg250,v uptake,molP
131,76.07540574,-0.759788393,0.223690541,0.28298201,necro250 - psyg250,v uptake,molP
132,76.07540574,-1.664830449,0.047973294,0.089949926,necro50 - psyg250,v uptake,molP
133,76.07540574,-2.145284874,0.015965039,0.038984396,psyg100 - psyg250,v uptake,molP
134,76.07540574,-0.391067555,0.347873651,0.38449193,min100 - psyg50,v uptake,molP
135,76.07540574,1.709523884,0.043676976,0.086529858,min250 - psyg50,v uptake,molP
136,76.07540574,-0.581014653,0.280615289,0.327384504,min50 - psyg50,v uptake,molP
137,76.07540574,3.676035019,0.000118444,0.000888326,necro100 - psyg50,v uptake,molP
138,76.07540574,3.072673648,0.001060752,0.004640789,necro250 - psyg50,v uptake,molP
139,76.07540574,2.167631592,0.015093364,0.03773341,necro50 - psyg50,v uptake,molP
140,76.07540574,1.687177167,0.045784645,0.089025699,psyg100 - psyg50,v uptake,molP
141,76.07540574,3.832462041,6.34E-05,0.000605502,psyg250 - psyg50,v uptake,molP
142,76.07540574,-1.072642437,0.141715788,0.206668858,min100 - smic100,v uptake,molP
143,76.07540574,1.027949002,0.151986909,0.218611307,min250 - smic100,v uptake,molP
144,76.07540574,-1.262589535,0.103368365,0.159612917,min50 - smic100,v uptake,molP
145,76.07540574,2.994460137,0.001374655,0.00534588,necro100 - smic100,v uptake,molP
146,76.07540574,2.391098766,0.008399017,0.023835047,necro250 - smic100,v uptake,molP
147,76.07540574,1.48605671,0.068632061,0.118137154,necro50 - smic100,v uptake,molP
148,76.07540574,1.005602285,0.157303462,0.223200859,psyg100 - smic100,v uptake,molP
149,76.07540574,3.150887159,0.000813877,0.003715525,psyg250 - smic100,v uptake,molP
150,76.07540574,-0.681574882,0.247753901,0.302490228,psyg50 - smic100,v uptake,molP
151,76.07540574,-3.284967463,0.000509971,0.002677346,min100 - smic250,v uptake,molP
152,76.07540574,-1.184376024,0.118132123,0.174702436,min250 - smic250,v uptake,molP
153,76.07540574,-3.474914562,0.000255508,0.001676772,min50 - smic250,v uptake,molP
154,76.07540574,0.78213511,0.217067587,0.281383909,necro100 - smic250,v uptake,molP
155,76.07540574,0.17877374,0.429057683,0.441677027,necro250 - smic250,v uptake,molP
156,76.07540574,-0.726268317,0.233837149,0.292296436,necro50 - smic250,v uptake,molP
